age_lower,male,female
0,222368,223224
1,195438,194840
2,203773,203047
3,203055,201451
4,198236,195633
5,200902,1.97961
6,183330,181763
7,179827,177534
8,178820,178464
9,169307,168378
10,167352,164941
11,152141,152477
12,172497,174555
13,165645,168446
14,162231,168170
15,148799,156254
16,136169,151513
17,124842,138748
18,118950,138308
19,99947,122564
20,102319,131038
21,81246,104341
22,87234,48183
23,67833,88927
24,72855,129217
25,77597,100756
26,65890,84613
27,66310,84237
28,68130,89059
29,63046,79312
30,77339,98792
31,77692,88271
32,64854,77481
33,57825,71652
34,66911,78400
35,69980,82602
36,61603,73118
37,56952,66042
38,58087,69579
39,56852,65849
40,64497,75836
41,52280,50382
42,56591,62054
43,39041,44058
44,51018,55216
45,46172,50253
46,34487,38420
47,32076,33854
48,30696,33399
49,31595,35796
50,36766,45197
51,26948,32003
52,41620,47550
53,21160,23488
54,27444,31882
55,25071,29331
56,25729,27647
57,20085,22318
58,20876,22898
59,24062,27126
60,29247,36641
61,20330,22919
62,29319,31140
63,18357,20215
64,23465,27912
65,21284,23071
66,17886,18686
67,14841,15552
68,13565,15450
69,15121,17793
70,17269,23757
71,10432,11298
72,12991,13482
73,7905,9636
74,9568,13416
75,7118,9280
76,5480,6297
77,4212,4897
78,3987,5328
79,4565,7103
80,25008,41690
